config_name,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,actual_freq_mhz,cache_module,cycles,instns,cpi
enable_mul_enable_div_enable_counters_01110_freq2775_icache_multiword_lookahead,0,1,1,1,0,27.75,icache_multiword_lookahead,54859469,3921974,13.987718684519582
enable_mul_enable_div_enable_counters_01110_freq2775_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,icache_multiword_lookahead_2way,25992503,3921974,6.627403190332215
barrel_shifter_enable_mul_enable_div_enable_counters_11110_freq2775_icache_multiword_lookahead,1,1,1,1,0,27.75,icache_multiword_lookahead,53596872,3921974,13.665789727315888
enable_mul_enable_div_11_freq2775_icache_multiword_lookahead,1,1,27.75,icache_multiword_lookahead,53596872,3921974,13.665789727315888
enable_mul_enable_div_enable_counters_011100_freq2775_l16_w16_icache,0,1,1,1,0,0,27.75,16,16,icache,45469198,3921974,11.593447075375819
enable_mul_enable_div_enable_counters_011100_freq2775_l16_w16_icache_first_miss_bypass,0,1,1,1,0,0,27.75,16,16,icache_first_miss_bypass,45469198,3921974,11.593447075375819
enable_mul_enable_div_enable_counters_011100_freq2775_l16_w16_icache_multiword,0,1,1,1,0,0,27.75,16,16,icache_multiword,66577825,3921974,16.975590608198832
enable_mul_enable_div_enable_counters_011100_freq2775_l16_w16_icache_multiword_first_miss_bypass,0,1,1,1,0,0,27.75,16,16,icache_multiword_first_miss_bypass,78259253,3921974,19.954046865175545
enable_mul_enable_div_enable_counters_011100_freq2775_l16_w16_icache_multiword_lookahead,0,1,1,1,0,0,27.75,16,16,icache_multiword_lookahead,63277886,3921974,16.134193138455277
enable_mul_enable_div_enable_counters_011100_freq2775_l16_w16_icache_multiword_lookahead_2way,0,1,1,1,0,0,27.75,16,16,icache_multiword_lookahead_2way,60255038,3921974,15.363446570528005
enable_mul_enable_div_enable_counters_011100_freq2775_l16_w16_icache_random_bypass,0,1,1,1,0,0,27.75,16,16,icache_random_bypass,45474358,3921974,11.59476273937563
enable_mul_enable_div_enable_counters_011100_freq2775_l16_w16_icache_zerocycle,0,1,1,1,0,0,27.75,16,16,icache_zerocycle,44662504,3921974,11.387761367107482
enable_mul_enable_div_enable_counters_011100_freq2775_l32_w16_icache,0,1,1,1,0,0,27.75,32,16,icache,45469198,3921974,11.593447075375819
enable_mul_enable_div_enable_counters_011100_freq2775_l32_w16_icache_first_miss_bypass,0,1,1,1,0,0,27.75,32,16,icache_first_miss_bypass,45469198,3921974,11.593447075375819
enable_mul_enable_div_enable_counters_011100_freq2775_l32_w16_icache_multiword,0,1,1,1,0,0,27.75,32,16,icache_multiword,65206945,3921974,16.62605233996962
enable_mul_enable_div_enable_counters_011100_freq2775_l32_w16_icache_multiword_first_miss_bypass,0,1,1,1,0,0,27.75,32,16,icache_multiword_first_miss_bypass,76003083,3921974,19.378782980203336
enable_mul_enable_div_enable_counters_011100_freq2775_l32_w16_icache_multiword_lookahead,0,1,1,1,0,0,27.75,32,16,icache_multiword_lookahead,61907006,3921974,15.784654870226065
enable_mul_enable_div_enable_counters_011100_freq2775_l32_w16_icache_multiword_lookahead_2way,0,1,1,1,0,0,27.75,32,16,icache_multiword_lookahead_2way,58214580,3921974,14.84318356011539
enable_mul_enable_div_enable_counters_011100_freq2775_l32_w16_icache_random_bypass,0,1,1,1,0,0,27.75,32,16,icache_random_bypass,45474954,3921974,11.594914703667081
enable_mul_enable_div_enable_counters_011100_freq2775_l32_w16_icache_zerocycle,0,1,1,1,0,0,27.75,32,16,icache_zerocycle,44662504,3921974,11.387761367107482
enable_mul_enable_div_enable_counters_011100_freq2775_l64_w16_icache,0,1,1,1,0,0,27.75,64,16,icache,45469198,3921974,11.593447075375819
enable_mul_enable_div_enable_counters_011100_freq2775_l64_w16_icache_first_miss_bypass,0,1,1,1,0,0,27.75,64,16,icache_first_miss_bypass,45469312,3921974,11.593476142371163
enable_mul_enable_div_enable_counters_011100_freq2775_l64_w16_icache_multiword,0,1,1,1,0,0,27.75,64,16,icache_multiword,58150196,3921974,14.826767337060367
enable_mul_enable_div_enable_counters_011100_freq2775_l64_w16_icache_multiword_first_miss_bypass,0,1,1,1,0,0,27.75,64,16,icache_multiword_first_miss_bypass,65897717,3921974,16.802180993550696
enable_mul_enable_div_enable_counters_011100_freq2775_l64_w16_icache_multiword_lookahead,0,1,1,1,0,0,27.75,64,16,icache_multiword_lookahead,54859469,3921974,13.987718684519582
enable_mul_enable_div_enable_counters_011100_freq2775_l64_w16_icache_multiword_lookahead_2way,0,1,1,1,0,0,27.75,64,16,icache_multiword_lookahead_2way,25992503,3921974,6.627403190332215
enable_mul_enable_div_enable_counters_011100_freq2775_l64_w16_icache_random_bypass,0,1,1,1,0,0,27.75,64,16,icache_random_bypass,45562558,3921974,11.61725141472126
enable_mul_enable_div_enable_counters_011100_freq2775_l64_w16_icache_zerocycle,0,1,1,1,0,0,27.75,64,16,icache_zerocycle,44662504,3921974,11.387761367107482
enable_mul_enable_div_enable_counters_011100_freq2775_l128_w16_icache,0,1,1,1,0,0,27.75,128,16,icache,45469198,3921974,11.593447075375819
enable_mul_enable_div_enable_counters_011100_freq2775_l128_w16_icache_first_miss_bypass,0,1,1,1,0,0,27.75,128,16,icache_first_miss_bypass,45469312,3921974,11.593476142371163
enable_mul_enable_div_enable_counters_011100_freq2775_l128_w16_icache_multiword,0,1,1,1,0,0,27.75,128,16,icache_multiword,48159782,3921974,12.279475080660912
enable_mul_enable_div_enable_counters_011100_freq2775_l128_w16_icache_multiword_first_miss_bypass,0,1,1,1,0,0,27.75,128,16,icache_multiword_first_miss_bypass,52529880,3921974,13.39373488962446
enable_mul_enable_div_enable_counters_011100_freq2775_l128_w16_icache_multiword_lookahead,0,1,1,1,0,0,27.75,128,16,icache_multiword_lookahead,44885176,3921974,11.444536858224966
enable_mul_enable_div_enable_counters_011100_freq2775_l128_w16_icache_random_bypass,0,1,1,1,0,0,27.75,128,16,icache_random_bypass,46211098,3921974,11.782612021395348
enable_mul_enable_div_enable_counters_011100_freq2775_l128_w16_icache_zerocycle,0,1,1,1,0,0,27.75,128,16,icache_zerocycle,44662504,3921974,11.387761367107482
enable_mul_enable_div_enable_counters_011100_freq2775_l64_w16_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,64,16,icache_multiword_lookahead_2way,25992503,3921974,6.627403190332215
enable_mul_enable_div_enable_counters_01110_l16_w2_icache_multiword_lookahead,0,1,1,1,0,27.75,16,2,icache_multiword_lookahead,47913834,3921974,12.216764823020245
enable_mul_enable_div_enable_counters_01110_l16_w2_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,16,2,icache_multiword_lookahead_2way,47764074,3921974,12.178579970188482
enable_mul_enable_div_enable_counters_01110_l16_w4_icache_multiword_lookahead,0,1,1,1,0,27.75,16,4,icache_multiword_lookahead,54948409,3921974,14.010396040361307
enable_mul_enable_div_enable_counters_01110_l16_w4_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,16,4,icache_multiword_lookahead_2way,53828665,3921974,13.72489083303459
enable_mul_enable_div_enable_counters_01110_l16_w8_icache_multiword_lookahead,0,1,1,1,0,27.75,16,8,icache_multiword_lookahead,59545697,3921974,15.182583311363105
enable_mul_enable_div_enable_counters_01110_l16_w8_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,16,8,icache_multiword_lookahead_2way,57730145,3921974,14.719665403187273
enable_mul_enable_div_enable_counters_01110_l16_w16_icache_multiword_lookahead,0,1,1,1,0,27.75,16,16,icache_multiword_lookahead,63277886,3921974,16.134193138455277
enable_mul_enable_div_enable_counters_01110_l16_w16_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,16,16,icache_multiword_lookahead_2way,60255038,3921974,15.363446570528005
enable_mul_enable_div_enable_counters_01110_l32_w2_icache_multiword_lookahead,0,1,1,1,0,27.75,32,2,icache_multiword_lookahead,47883882,3921974,12.209127852453891
enable_mul_enable_div_enable_counters_01110_l32_w2_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,32,2,icache_multiword_lookahead_2way,47464554,3921974,12.102210264524956
enable_mul_enable_div_enable_counters_01110_l32_w4_icache_multiword_lookahead,0,1,1,1,0,27.75,32,4,icache_multiword_lookahead,54374713,3921974,13.86411868105194
enable_mul_enable_div_enable_counters_01110_l32_w4_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,32,4,icache_multiword_lookahead_2way,53642041,3921974,13.677306631813469
enable_mul_enable_div_enable_counters_01110_l32_w8_icache_multiword_lookahead,0,1,1,1,0,27.75,32,8,icache_multiword_lookahead,58891361,3921974,15.015744877452018
enable_mul_enable_div_enable_counters_01110_l32_w8_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,32,8,icache_multiword_lookahead_2way,57730145,3921974,14.719665403187273
enable_mul_enable_div_enable_counters_01110_l32_w16_icache_multiword_lookahead,0,1,1,1,0,27.75,32,16,icache_multiword_lookahead,61907006,3921974,15.784654870226065
enable_mul_enable_div_enable_counters_01110_l32_w16_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,32,16,icache_multiword_lookahead_2way,58214580,3921974,14.84318356011539
enable_mul_enable_div_enable_counters_01110_l64_w2_icache_multiword_lookahead,0,1,1,1,0,27.75,64,2,icache_multiword_lookahead,47674218,3921974,12.155669058489424
enable_mul_enable_div_enable_counters_01110_l64_w2_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,64,2,icache_multiword_lookahead_2way,47464554,3921974,12.102210264524956
enable_mul_enable_div_enable_counters_01110_l64_w4_icache_multiword_lookahead,0,1,1,1,0,27.75,64,4,icache_multiword_lookahead,54068281,3921974,13.78598659756541
enable_mul_enable_div_enable_counters_01110_l64_w4_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,64,4,icache_multiword_lookahead_2way,53642041,3921974,13.677306631813469
enable_mul_enable_div_enable_counters_01110_l64_w8_icache_multiword_lookahead,0,1,1,1,0,27.75,64,8,icache_multiword_lookahead,58243937,3921974,14.850668821363936
enable_mul_enable_div_enable_counters_01110_l64_w8_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,64,8,icache_multiword_lookahead_2way,56044349,3921974,14.28983185508114
enable_mul_enable_div_enable_counters_01110_l64_w16_icache_multiword_lookahead,0,1,1,1,0,27.75,64,16,icache_multiword_lookahead,54859469,3921974,13.987718684519582
enable_mul_enable_div_enable_counters_01110_l64_w16_icache_multiword_lookahead_2way,0,1,1,1,0,27.75,64,16,icache_multiword_lookahead_2way,25992503,3921974,6.627403190332215
enable_mul_enable_div_enable_counters_01110_l128_w2_icache_multiword_lookahead,0,1,1,1,0,27.75,128,2,icache_multiword_lookahead,47584362,3921974,12.132758146790366
enable_mul_enable_div_enable_counters_01110_l128_w4_icache_multiword_lookahead,0,1,1,1,0,27.75,128,4,icache_multiword_lookahead,53881657,3921974,13.73840239634429
enable_mul_enable_div_enable_counters_01110_l128_w8_icache_multiword_lookahead,0,1,1,1,0,27.75,128,8,icache_multiword_lookahead,52076620,3921974,13.27816553602854
enable_mul_enable_div_enable_counters_01110_l128_w16_icache_multiword_lookahead,0,1,1,1,0,27.75,128,16,icache_multiword_lookahead,44885176,3921974,11.444536858224966
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w2_icache_multiword_lookahead,1,1,1,1,0,27.75,16,2,icache_multiword_lookahead,47796326,3921974,12.186803380134595
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w2_icache_multiword_lookahead_2way,1,1,1,1,0,27.75,16,2,icache_multiword_lookahead_2way,47646566,3921974,12.148618527302833
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w4_icache_multiword_lookahead,1,1,1,1,0,27.75,16,4,icache_multiword_lookahead,53916212,3921974,13.747213010591095
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w4_icache_multiword_lookahead_2way,1,1,1,1,0,27.75,16,4,icache_multiword_lookahead_2way,52796468,3921974,13.461707803264376
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w8_icache_multiword_lookahead,1,1,1,1,0,27.75,16,8,icache_multiword_lookahead,58386777,3921974,14.887089256583547
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w8_icache_multiword_lookahead_2way,1,1,1,1,0,27.75,16,8,icache_multiword_lookahead_2way,56571225,3921974,14.424171348407715
