config_name,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_fast_mul,two_stage_shift,two_cycle_compare,enable_counters64,use_clk_divider,cache_lines,cache_words_per_line,cache_module
enable_counters_enable_fast_mul_0001010000_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,0,0,0,0,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_use_clk_divider_0001010001_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,0,0,0,1,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_enable_counters64_0001010010_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,0,0,1,0,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_enable_counters64_use_clk_divider_0001010011_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,0,0,1,1,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_cycle_compare_0001010100_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,0,1,0,0,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_cycle_compare_use_clk_divider_0001010101_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,0,1,0,1,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_cycle_compare_enable_counters64_0001010110_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,0,1,1,0,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_cycle_compare_enable_counters64_use_clk_divider_0001010111_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,0,1,1,1,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_stage_shift_0001011000_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,1,0,0,0,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_stage_shift_use_clk_divider_0001011001_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,1,0,0,1,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_stage_shift_enable_counters64_0001011010_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,1,0,1,0,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_stage_shift_enable_counters64_use_clk_divider_0001011011_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,1,0,1,1,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_stage_shift_two_cycle_compare_0001011100_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,1,1,0,0,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_stage_shift_two_cycle_compare_use_clk_divider_0001011101_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,1,1,0,1,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_stage_shift_two_cycle_compare_enable_counters64_0001011110_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,1,1,1,0,64,16,icache_multiword_lookahead_2way
enable_counters_enable_fast_mul_two_stage_shift_two_cycle_compare_enable_counters64_use_clk_divider_0001011111_l64_w16_icache_multiword_lookahead_2way,0,0,0,1,0,1,1,1,1,1,64,16,icache_multiword_lookahead_2way
enable_div_enable_counters_enable_fast_mul_0011010000_l64_w16_icache_multiword_lookahead_2way,0,0,1,1,0,1,0,0,0,0,64,16,icache_multiword_lookahead_2way
enable_div_enable_counters_enable_fast_mul_use_clk_divider_0011010001_l64_w16_icache_multiword_lookahead_2way,0,0,1,1,0,1,0,0,0,1,64,16,icache_multiword_lookahead_2way
