config,tests_pass,div_test_pass,icache_test_pass,luts,ffs,brams,dsps,carry_cells,fmax_mhz,logic_levels,lc_used,lc_total,lc_percent,ram_used,ram_total,ram_percent,dsp_used,dsp_total,dsp_percent,io_used,io_total,io_percent,pll_used,pll_total,pll_percent,gb_used,gb_total,gb_percent,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,two_cycle_compare,two_cycle_alu,enable_regs_dualport,enable_counters64,catch_misalign,catch_illinsn,latched_mem_rdata,use_clk_divider,enable_irq_qregs,cache_lines,cache_words_per_line,cache_module,enable_fast_mul
enable_mul_enable_div_enable_regs_dualport_01100001000000_l16_w1_icache_multiword_lookahead,1,1,1,3467,4945,4,0,687,18.49,14,4189,5280,79,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l16_w2_icache_multiword_lookahead,1,1,1,3431,4341,722,0,687,17.88,14,4158,5280,78,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,2,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l16_w4_icache_multiword_lookahead,1,1,1,3463,4341,722,0,686,18.2,15,4182,5280,79,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,4,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l16_w8_icache_multiword_lookahead,1,1,1,3418,4229,724,0,688,17.36,15,4144,5280,78,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,8,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l16_w16_icache_multiword_lookahead,1,1,1,3444,4341,725,0,688,17.67,13,4166,5280,78,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,16,16,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l32_w1_icache_multiword_lookahead,1,1,1,3508,4990,701,0,687,16.58,15,4234,5280,80,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,32,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l32_w2_icache_multiword_lookahead,1,1,1,3468,4980,1498,0,687,18.35,13,4193,5280,79,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,32,2,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l32_w4_icache_multiword_lookahead,1,1,1,3447,4980,1498,0,687,18.59,14,4171,5280,78,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,32,4,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l32_w8_icache_multiword_lookahead,1,1,1,3448,4982,1498,0,688,17.96,15,4175,5280,79,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,32,8,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l32_w16_icache_multiword_lookahead,1,1,1,3491,4262,1498,0,688,18.01,14,4212,5280,79,10,30,33,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,32,16,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l64_w1_icache_multiword_lookahead,1,1,1,3539,5083,1533,0,687,18.31,14,4266,5280,80,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,64,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l64_w2_icache_multiword_lookahead,1,1,1,3589,5073,1529,0,687,17.61,14,4304,5280,81,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,64,2,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_01100001000000_l64_w4_icache_multiword_lookahead,1,1,1,3553,5073,1529,0,686,19.35,13,4269,5280,80,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,0,0,0,0,0,0,64,4,icache_multiword_lookahead,0
