config_name,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_irqtwo_stage_shift,two_cycle_compare,two_cycle_alu,enable_regs_dualport,enable_counters64,catch_misalign,catch_illinsn,latched_mem_rdata,use_clk_divider,enable_irq_qregs,cache_module
enable_mul_enable_div_011000000000000_icache_multiword_lookahead,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_irq_qregs_011000000000001_icache_multiword_lookahead,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_catch_illinsn_011000000001000_icache_multiword_lookahead,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_catch_illinsn_enable_irq_qregs_011000000001001_icache_multiword_lookahead,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_catch_misalign_011000000010000_icache_multiword_lookahead,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_catch_misalign_enable_irq_qregs_011000000010001_icache_multiword_lookahead,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_catch_misalign_catch_illinsn_011000000011000_icache_multiword_lookahead,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_catch_misalign_catch_illinsn_enable_irq_qregs_011000000011001_icache_multiword_lookahead,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_011000001000000_icache_multiword_lookahead,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_enable_irq_qregs_011000001000001_icache_multiword_lookahead,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_catch_illinsn_011000001001000_icache_multiword_lookahead,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011000001001001_icache_multiword_lookahead,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_catch_misalign_011000001010000_icache_multiword_lookahead,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_catch_misalign_enable_irq_qregs_011000001010001_icache_multiword_lookahead,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_catch_misalign_catch_illinsn_011000001011000_icache_multiword_lookahead,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011000001011001_icache_multiword_lookahead,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_011000010000000_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_enable_irq_qregs_011000010000001_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_catch_illinsn_011000010001000_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_catch_illinsn_enable_irq_qregs_011000010001001_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_catch_misalign_011000010010000_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_catch_misalign_enable_irq_qregs_011000010010001_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_catch_misalign_catch_illinsn_011000010011000_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_catch_misalign_catch_illinsn_enable_irq_qregs_011000010011001_icache_multiword_lookahead,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_011000011000000_icache_multiword_lookahead,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_enable_irq_qregs_011000011000001_icache_multiword_lookahead,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_illinsn_011000011001000_icache_multiword_lookahead,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011000011001001_icache_multiword_lookahead,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_misalign_011000011010000_icache_multiword_lookahead,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_misalign_enable_irq_qregs_011000011010001_icache_multiword_lookahead,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_011000011011000_icache_multiword_lookahead,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011000011011001_icache_multiword_lookahead,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_011000100000000_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_enable_irq_qregs_011000100000001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_catch_illinsn_011000100001000_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_catch_illinsn_enable_irq_qregs_011000100001001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_catch_misalign_011000100010000_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_catch_misalign_enable_irq_qregs_011000100010001_icache_multiword_lookahead,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,icache_multiword_lookahead
