config,tests_pass,luts,ffs,brams,dsps,carry_cells,fmax_mhz,logic_levels,lc_used,lc_total,lc_percent,ram_used,ram_total,ram_percent,dsp_used,dsp_total,dsp_percent,io_used,io_total,io_percent,pll_used,pll_total,pll_percent,gb_used,gb_total,gb_percent,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_irqtwo_stage_shift,two_cycle_compare,two_cycle_alu,enable_regs_dualport,enable_counters64,catch_misalign,catch_illinsn,latched_mem_rdata,use_clk_divider,enable_irq_qregs,cache_module,enable_fast_mul
enable_mul_enable_div_011000000000000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_irq_qregs_011000000000001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_catch_illinsn_011000000001000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_catch_illinsn_enable_irq_qregs_011000000001001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_catch_misalign_011000000010000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_catch_misalign_enable_irq_qregs_011000000010001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_catch_misalign_catch_illinsn_011000000011000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_catch_misalign_catch_illinsn_enable_irq_qregs_011000000011001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_011000001000000_icache_multiword_lookahead,1,4063,4821,756,0,718,16.61,16,4812,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_enable_regs_dualport_enable_irq_qregs_011000001000001_icache_multiword_lookahead,1,4129,4823,4,0,699,15.8,17,4857,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,icache_multiword_lookahead,0
