config,luts,ffs,brams,dsps,carry_cells,fmax_mhz,logic_levels,lc_used,lc_total,lc_percent,ram_used,ram_total,ram_percent,dsp_used,dsp_total,dsp_percent,io_used,io_total,io_percent,pll_used,pll_total,pll_percent,gb_used,gb_total,gb_percent,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_irq,cache_lines,cache_words_per_line,cache_module,enable_fast_mul
enable_div_001000_l16_w1_icache_multiword_lookahead,3099,3399,88,0,621,18.8,13,3744,5280,70,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,16,1,icache_multiword_lookahead,0
enable_div_001000_l16_w2_icache_multiword_lookahead,3117,4595,88,0,591,18.66,14,3760,5280,71,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,16,2,icache_multiword_lookahead,0
enable_div_001000_l16_w4_icache_multiword_lookahead,3109,3399,128,0,621,17.59,15,3756,5280,71,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,16,4,icache_multiword_lookahead,0
enable_div_001000_l16_w8_icache_multiword_lookahead,3174,3402,128,0,623,18.55,14,3817,5280,72,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,16,8,icache_multiword_lookahead,0
enable_div_001000_l16_w16_icache_multiword_lookahead,3091,3405,128,0,623,18.75,14,3742,5280,70,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,16,16,icache_multiword_lookahead,0
enable_div_001000_l32_w1_icache_multiword_lookahead,3229,4663,4,0,622,18.26,14,3876,5280,73,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,32,1,icache_multiword_lookahead,0
enable_div_001000_l32_w2_icache_multiword_lookahead,3134,3452,8,0,591,17.86,14,3779,5280,71,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,32,2,icache_multiword_lookahead,0
enable_div_001000_l32_w4_icache_multiword_lookahead,3144,3447,128,0,621,18.17,14,3789,5280,71,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,32,4,icache_multiword_lookahead,0
enable_div_001000_l32_w8_icache_multiword_lookahead,3192,4667,4,0,592,18.48,13,3836,5280,72,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,32,8,icache_multiword_lookahead,0
enable_div_001000_l32_w16_icache_multiword_lookahead,3157,3780,4,0,625,18.1,14,3807,5280,72,10,30,33,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,32,16,icache_multiword_lookahead,0
enable_div_001000_l64_w1_icache_multiword_lookahead,3232,3543,4,0,622,18.27,14,3880,5280,73,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,64,1,icache_multiword_lookahead,0
enable_div_001000_l64_w2_icache_multiword_lookahead,3217,3660,4,0,591,17.38,15,3865,5280,73,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,64,2,icache_multiword_lookahead,0
enable_div_001000_l64_w4_icache_multiword_lookahead,3220,3543,4,0,621,18.02,14,3859,5280,73,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,64,4,icache_multiword_lookahead,0
enable_div_001000_l64_w8_icache_multiword_lookahead,3207,3548,10,0,593,17.73,14,3857,5280,73,10,30,33,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,64,8,icache_multiword_lookahead,0
enable_div_001000_l64_w16_icache_multiword_lookahead,3192,3765,4,0,592,17.99,15,3839,5280,72,14,30,46,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,64,16,icache_multiword_lookahead,0
enable_div_001000_l128_w1_icache_multiword_lookahead,3348,4383,709,0,591,17.8,15,3994,5280,75,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,128,1,icache_multiword_lookahead,0
enable_div_001000_l128_w2_icache_multiword_lookahead,3352,3732,708,0,622,18.95,14,3999,5280,75,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,128,2,icache_multiword_lookahead,0
enable_div_001000_l128_w4_icache_multiword_lookahead,3329,3731,160,0,591,18.04,14,3971,5280,75,10,30,33,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,128,4,icache_multiword_lookahead,0
enable_div_001000_l128_w8_icache_multiword_lookahead,3377,3954,6,0,623,17.76,14,4024,5280,76,14,30,46,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,128,8,icache_multiword_lookahead,0
enable_div_001000_l128_w16_icache_multiword_lookahead,3350,4085,6,0,623,17.61,14,3999,5280,75,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,0,1,0,0,0,128,16,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l16_w1_icache_multiword_lookahead,3332,3382,1201,0,600,18.23,14,3944,5280,74,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,16,1,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l16_w2_icache_multiword_lookahead,3258,4571,128,0,600,18.28,15,3878,5280,73,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,16,2,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l16_w4_icache_multiword_lookahead,3256,4575,8,0,599,17.69,15,3879,5280,73,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,16,4,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l16_w8_icache_multiword_lookahead,3284,3975,88,0,570,19.33,13,3897,5280,73,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,16,8,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l16_w16_icache_multiword_lookahead,3294,3979,1203,0,570,18.2,14,3912,5280,74,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,16,16,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l32_w1_icache_multiword_lookahead,3403,3430,88,0,600,19.36,13,4016,5280,76,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,32,1,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l32_w2_icache_multiword_lookahead,3348,4031,16,0,600,18.63,15,3972,5280,75,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,32,2,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l32_w4_icache_multiword_lookahead,3304,4035,16,0,569,19.19,13,3922,5280,74,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,32,4,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l32_w8_icache_multiword_lookahead,3338,3433,128,0,601,18.43,13,3952,5280,74,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,32,8,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l32_w16_icache_multiword_lookahead,3300,3434,4,0,602,18.44,15,3920,5280,74,10,30,33,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,32,16,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l64_w1_icache_multiword_lookahead,3450,3606,8,0,600,19.18,13,4070,5280,77,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,64,1,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l64_w2_icache_multiword_lookahead,3421,3523,128,0,600,17.81,14,4037,5280,76,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,64,2,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l64_w4_icache_multiword_lookahead,3405,3526,16,0,600,19.47,13,4019,5280,76,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,64,4,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l64_w8_icache_multiword_lookahead,3378,3525,160,0,601,17.65,14,3995,5280,75,10,30,33,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,64,8,icache_multiword_lookahead,0
barrel_shifter_enable_div_101000_l64_w16_icache_multiword_lookahead,3415,3532,14,0,602,18.34,14,4029,5280,76,14,30,46,0,8,0,24,96,25,1,1,100,8,8,100,1,0,1,0,0,0,64,16,icache_multiword_lookahead,0
