config_name,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_irq,cache_module
baseline_000000_icache_multiword_lookahead,0,0,0,0,0,0,icache_multiword_lookahead
enable_irq_000001_icache_multiword_lookahead,0,0,0,0,0,1,icache_multiword_lookahead
enable_compressed_000010_icache_multiword_lookahead,0,0,0,0,1,0,icache_multiword_lookahead
enable_compressed_enable_irq_000011_icache_multiword_lookahead,0,0,0,0,1,1,icache_multiword_lookahead
enable_counters_000100_icache_multiword_lookahead,0,0,0,1,0,0,icache_multiword_lookahead
enable_counters_enable_irq_000101_icache_multiword_lookahead,0,0,0,1,0,1,icache_multiword_lookahead
enable_counters_enable_compressed_000110_icache_multiword_lookahead,0,0,0,1,1,0,icache_multiword_lookahead
enable_counters_enable_compressed_enable_irq_000111_icache_multiword_lookahead,0,0,0,1,1,1,icache_multiword_lookahead
enable_div_001000_icache_multiword_lookahead,0,0,1,0,0,0,icache_multiword_lookahead
enable_div_enable_irq_001001_icache_multiword_lookahead,0,0,1,0,0,1,icache_multiword_lookahead
enable_div_enable_compressed_001010_icache_multiword_lookahead,0,0,1,0,1,0,icache_multiword_lookahead
enable_div_enable_compressed_enable_irq_001011_icache_multiword_lookahead,0,0,1,0,1,1,icache_multiword_lookahead
enable_div_enable_counters_001100_icache_multiword_lookahead,0,0,1,1,0,0,icache_multiword_lookahead
enable_div_enable_counters_enable_irq_001101_icache_multiword_lookahead,0,0,1,1,0,1,icache_multiword_lookahead
enable_div_enable_counters_enable_compressed_001110_icache_multiword_lookahead,0,0,1,1,1,0,icache_multiword_lookahead
enable_div_enable_counters_enable_compressed_enable_irq_001111_icache_multiword_lookahead,0,0,1,1,1,1,icache_multiword_lookahead
enable_mul_010000_icache_multiword_lookahead,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_irq_010001_icache_multiword_lookahead,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_compressed_010010_icache_multiword_lookahead,0,1,0,0,1,0,icache_multiword_lookahead
enable_mul_enable_compressed_enable_irq_010011_icache_multiword_lookahead,0,1,0,0,1,1,icache_multiword_lookahead
enable_mul_enable_counters_010100_icache_multiword_lookahead,0,1,0,1,0,0,icache_multiword_lookahead
enable_mul_enable_counters_enable_irq_010101_icache_multiword_lookahead,0,1,0,1,0,1,icache_multiword_lookahead
enable_mul_enable_counters_enable_compressed_010110_icache_multiword_lookahead,0,1,0,1,1,0,icache_multiword_lookahead
enable_mul_enable_counters_enable_compressed_enable_irq_010111_icache_multiword_lookahead,0,1,0,1,1,1,icache_multiword_lookahead
enable_mul_enable_div_011000_icache_multiword_lookahead,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_irq_011001_icache_multiword_lookahead,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_compressed_011010_icache_multiword_lookahead,0,1,1,0,1,0,icache_multiword_lookahead
enable_mul_enable_div_enable_compressed_enable_irq_011011_icache_multiword_lookahead,0,1,1,0,1,1,icache_multiword_lookahead
